Date,Open,High,Low,Close,Adj Close,Volume,Bollinger_High,Bollinger_Low,MACD,Signal,RSI,Pivot,R1,S1,R2,S2,R3,S3,R4,S4,OBV,ATR,%K,%D,Close_diff,Close_log_return,Volume_changes
1993-04-30,44.125,44.28125,44.03125,44.03125,24.93378448486328,88500,45.273090094027,43.373784905973,-0.25143881377621824,-0.19077032791749776,43.646217782850115,44.09375,44.15625,43.90625,44.34375,43.84375,44.40625,43.65625,44.84375,43.34375,203800,0.36160714285714285,40.0,34.44444444444445,0.0625,0.0014204547842911227,3500.0
1993-05-03,44.09375,44.3125,43.90625,44.3125,25.093032836914062,80500,45.27790821839278,43.39084178160722,-0.21740133045481969,-0.19609652842496217,48.87036879158837,44.2109375,44.515625,44.109375,44.6171875,43.8046875,44.921875,43.703125,45.4296875,42.9921875,284300,0.36830357142857145,57.89473684210527,44.853801169590646,0.28125,0.006367195193392652,-8000.0
1993-05-04,44.40625,44.625,44.34375,44.46875,25.18152618408203,149100,45.28754383597802,43.39683116402198,-0.17579189103828696,-0.19203560094762712,51.557162981269435,44.4765625,44.609375,44.328125,44.7578125,44.1953125,44.890625,44.046875,45.3203125,43.6328125,433400,0.3794642857142857,66.66666666666666,54.853801169590646,0.15625,0.0035198909977796657,68600.0
1993-05-05,44.46875,44.75,44.46875,44.59375,25.252304077148438,109000,45.3113133170052,43.41368668299479,-0.13121706652631815,-0.17987189406336535,53.6553121992224,44.6015625,44.734375,44.453125,44.8828125,44.3203125,45.015625,44.171875,45.4453125,43.7578125,542400,0.3794642857142857,73.68421052631578,66.08187134502924,0.125,0.0028070193869840104,-40100.0
1993-05-06,44.53125,44.5625,44.40625,44.4375,25.163829803466797,54700,45.316536956969074,43.417838043030926,-0.10726280724741599,-0.16535007670017549,50.699317753416395,44.4609375,44.515625,44.359375,44.6171875,44.3046875,44.671875,44.203125,44.9296875,43.9921875,487700,0.38169642857142855,64.91228070175438,68.42105263157895,-0.15625,-0.0035100071136501955,-54300.0
1993-05-07,44.46875,44.46875,44.28125,44.34375,25.110750198364258,68000,45.31888201684606,43.42174298315393,-0.09475148949616852,-0.15123035925937411,48.95655732009028,44.359375,44.4375,44.25,44.546875,44.171875,44.625,44.0625,44.921875,43.796875,419700,0.3705357142857143,72.3404255319149,70.3123055866617,-0.09375,-0.0021119332031435015,13300.0
1993-05-10,44.40625,44.6875,44.40625,44.4375,25.163829803466797,113900,45.26227234685637,43.431477653143624,-0.07639075348597402,-0.1362624381046941,50.77866342047086,44.4921875,44.578125,44.296875,44.7734375,44.2109375,44.859375,44.015625,45.3359375,43.6484375,533600,0.359375,78.72340425531915,71.99203682966282,0.09375,0.0021119332031435513,45900.0
1993-05-11,44.4375,44.625,44.3125,44.625,25.270002365112305,42600,45.20159640916671,43.45465359083329,-0.04617774660065521,-0.11824549980388632,54.29290792965002,44.546875,44.78125,44.46875,44.859375,44.234375,45.09375,44.15625,45.484375,43.609375,576200,0.3638392857142857,91.48936170212765,80.85106382978724,0.1875,0.004210532536343458,-71300.0
1993-05-12,44.4375,44.59375,44.4375,44.5625,25.23462677001953,31000,45.142957747763255,43.47579225223675,-0.02696610021926915,-0.0999896198869629,52.93617441404066,44.5390625,44.640625,44.484375,44.6953125,44.3828125,44.796875,44.328125,45.0078125,44.0703125,545200,0.3236607142857143,87.2340425531915,85.81560283687945,-0.0625,-0.0014015419252884445,-11600.0
1993-05-13,44.375,44.375,44.0,44.03125,24.93378448486328,129100,45.05110680215379,43.47701819784621,-0.05398585191227312,-0.09078886629202496,43.081433605679855,44.109375,44.21875,43.84375,44.484375,43.734375,44.59375,43.46875,45.234375,42.984375,416100,0.34375,51.06382978723404,76.59574468085107,-0.53125,-0.011993089075561044,98100.0
