Friday Date,Monday Date,Friday Close,Monday Open,Monday Close,Friday-Monday Return (%),Volume Liquidity,Positive Return,Friday Volume,Monday Volume
2014-11-14,2014-11-17,204.24000549316406,203.85000610351562,204.3699951171875,0.0636455251308678,Sufficient,True,80417500,80441000.0
2014-11-21,2014-11-24,206.67999267578125,207.1699981689453,207.25999450683594,0.28062795220074155,Sufficient,True,142327300,65880800.0
2014-11-28,2014-12-01,207.1999969482422,206.39999389648438,205.75999450683594,-0.6949818835016476,Sufficient,False,57890100,103968400.0
2014-12-05,2014-12-08,208.0,207.52000427246094,206.61000061035156,-0.6682689373309796,Sufficient,False,91025500,108588200.0
2014-12-12,2014-12-15,200.88999938964844,201.97999572753906,199.50999450683594,-0.6869455358680286,Sufficient,False,202330200,189965800.0
2014-12-19,2014-12-22,206.52000427246094,206.75,207.47000122070312,0.46000238649465686,Sufficient,True,245084600,148318900.0
2014-12-26,2014-12-29,208.44000244140625,208.22000122070312,208.72000122070312,0.13433063520308888,Sufficient,True,57326700,79643900.0
2015-01-02,2015-01-05,205.42999267578125,204.1699981689453,201.72000122070312,-1.8059638744832158,Sufficient,False,121465900,169632600.0
2015-01-09,2015-01-12,204.25,204.41000366210938,202.64999389648438,-0.7833567214274785,Sufficient,False,158567300,144396100.0
2015-01-23,2015-01-26,204.97000122070312,204.7100067138672,205.4499969482422,0.23417852596986774,Sufficient,True,117516800,92009700.0
2015-01-30,2015-02-02,199.4499969482422,200.0500030517578,201.9199981689453,1.2384062464258132,Sufficient,True,197729700,163107000.0
2015-02-06,2015-02-09,205.5500030517578,204.77000427246094,204.6300048828125,-0.4475787668627062,Sufficient,False,125672000,87219000.0
2015-02-20,2015-02-23,211.24000549316406,210.94000244140625,211.2100067138672,-0.014201277464862494,Sufficient,False,140896400,74411100.0
2015-02-27,2015-03-02,210.66000366210938,210.77999877929688,211.99000549316406,0.6313499515493979,Sufficient,True,108076000,87491400.0
2015-03-06,2015-03-09,207.5,207.74000549316406,208.36000061035156,0.4144581254706325,Sufficient,True,188128000,89818900.0
2015-03-13,2015-03-16,205.8300018310547,206.7100067138672,208.5800018310547,1.3360540132809213,Sufficient,True,162410900,136099200.0
2015-03-20,2015-03-23,210.41000366210938,210.4199981689453,210.0,-0.1948593959286207,Sufficient,False,177715100,71784500.0
2015-03-27,2015-03-30,205.74000549316406,206.97999572753906,208.25,1.219983688062716,Sufficient,True,118939000,96180400.0
2015-04-10,2015-04-13,210.0399932861328,209.8699951171875,209.08999633789062,-0.45229336250645746,Sufficient,False,72722900,74436600.0
2015-04-17,2015-04-20,207.9499969482422,209.05999755859375,209.85000610351562,0.9136855893998119,Sufficient,True,191113200,92189500.0
2015-04-24,2015-04-27,211.64999389648438,212.3300018310547,210.77000427246094,-0.4157758797072446,Sufficient,False,61327400,79358100.0
2015-05-01,2015-05-04,210.72000122070312,211.22999572753906,211.32000732421875,0.2847409358579079,Sufficient,True,103399700,70927200.0
2015-05-08,2015-05-11,211.6199951171875,211.57000732421875,210.61000061035156,-0.47726799458465113,Sufficient,False,155877300,75708100.0
2015-05-15,2015-05-18,212.44000244140625,212.24000549316406,213.10000610351562,0.3106776758258665,Sufficient,True,76510100,74549700.0
2015-05-29,2015-06-01,211.13999938964844,211.94000244140625,211.57000732421875,0.20366010031891402,Sufficient,True,124919600,93338800.0
2015-06-05,2015-06-08,209.77000427246094,209.63999938964844,208.47999572753906,-0.6149633020202165,Sufficient,False,121704700,89063300.0
2015-06-12,2015-06-15,210.00999450683594,208.63999938964844,209.11000061035156,-0.42854812629171307,Sufficient,False,135382400,124384200.0
2015-06-19,2015-06-22,210.80999755859375,211.91000366210938,211.88999938964844,0.5123105372431426,Sufficient,True,130478700,70696000.0
2015-06-26,2015-06-29,209.82000732421875,208.0500030517578,205.4199981689453,-2.0970398444770053,Sufficient,False,104174800,202621300.0
2015-07-10,2015-07-13,207.47999572753906,208.99000549316406,209.77000427246094,1.1037249817226207,Sufficient,True,129456900,106069400.0
2015-07-17,2015-07-20,212.47999572753906,212.75,212.58999633789062,0.05176986660552044,Sufficient,True,89030000,70446800.0
2015-07-24,2015-07-27,208.0,206.94000244140625,206.7899932861328,-0.5817339970515325,Sufficient,False,117755000,132361100.0
2015-07-31,2015-08-03,210.5,210.4600067138672,209.7899932861328,-0.3372953510057898,Sufficient,False,103266900,113965700.0
2015-08-07,2015-08-10,207.9499969482422,209.27999877929688,210.57000732421875,1.2599232577188597,Sufficient,True,117858000,80270700.0
2015-08-14,2015-08-17,209.4199981689453,208.7100067138672,210.58999633789062,0.5586850249141155,Sufficient,True,72786500,79072600.0
2015-08-21,2015-08-24,197.8300018310547,187.49000549316406,189.5,-4.210686829072794,Sufficient,False,346588500,507244300.0
2015-08-28,2015-08-31,199.27999877929688,198.11000061035156,197.6699981689453,-0.8079087817210608,Sufficient,False,160414400,163298800.0
2015-09-11,2015-09-14,196.74000549316406,196.9499969482422,196.00999450683594,-0.37105365759151104,Sufficient,False,119691200,79452000.0
2015-09-18,2015-09-21,195.4499969482422,196.44000244140625,196.4600067138672,0.5167612081838324,Sufficient,True,223657500,105726200.0
2015-09-25,2015-09-28,192.85000610351562,191.77999877929688,188.00999450683594,-2.5097285162032748,Sufficient,False,155054800,178515900.0
2015-10-02,2015-10-05,195.0,196.4600067138672,198.47000122070312,1.779487805488782,Sufficient,True,211003300,126320800.0
2015-10-09,2015-10-12,201.3300018310547,201.4199981689453,201.52000427246094,0.09437363516525958,Sufficient,True,107069200,56395600.0
2015-10-16,2015-10-19,203.27000427246094,202.5,203.3699951171875,0.04919114607413293,Sufficient,True,114580100,76523900.0
2015-10-23,2015-10-26,207.50999450683594,207.3000030517578,207.0,-0.24576864745622498,Sufficient,False,144442300,69033000.0
2015-10-30,2015-11-02,207.92999267578125,208.32000732421875,210.38999938964844,1.1830937337178669,Sufficient,True,131076900,86270800.0
2015-11-06,2015-11-09,210.0399932861328,209.30999755859375,208.0800018310547,-0.9331515510039424,Sufficient,False,110471500,131008700.0
2015-11-13,2015-11-16,202.5399932861328,202.32000732421875,205.6199951171875,1.5206882261043129,Sufficient,True,153577100,117645200.0
2015-11-20,2015-11-23,209.30999755859375,209.3800048828125,209.07000732421875,-0.11465779808621787,Sufficient,False,94011500,64931200.0
2015-11-27,2015-11-30,209.55999755859375,209.75,208.69000244140625,-0.415153238844759,Sufficient,False,37317800,112822700.0
2015-12-04,2015-12-07,209.6199951171875,209.22999572753906,208.35000610351562,-0.6058529926793916,Sufficient,False,192913900,102027100.0
2015-12-11,2015-12-14,201.8800048828125,202.07000732421875,202.89999389648438,0.5052451897175053,Sufficient,True,211173300,182385200.0
2015-12-18,2015-12-21,200.02000427246094,201.41000366210938,201.6699981689453,0.8249144391761963,Sufficient,True,251393500,99094300.0
2016-01-08,2016-01-11,191.9199981689453,193.00999450683594,192.11000061035156,0.09900085619998428,Sufficient,True,209817200,187941300.0
2016-01-22,2016-01-25,190.52000427246094,189.9199981689453,187.63999938964844,-1.5116548489542498,Sufficient,False,168319600,130371700.0
2016-01-29,2016-02-01,193.72000122070312,192.52999877929688,193.64999389648438,-0.03613840789676199,Sufficient,False,210529300,136061600.0
2016-02-05,2016-02-08,187.9499969482422,185.77000427246094,185.4199981689453,-1.3461020592586592,Sufficient,False,180788300,191526700.0
2016-02-19,2016-02-22,192.0,193.8699951171875,194.77999877929688,1.447916030883789,Sufficient,True,114793000,103640300.0
2016-02-26,2016-02-29,195.08999633789062,195.11000061035156,193.55999755859375,-0.7842528105064691,Sufficient,False,129833700,125918100.0
2016-03-04,2016-03-07,200.42999267578125,199.33999633789062,200.58999633789062,0.07983019905019878,Sufficient,True,129293600,100219000.0
2016-03-11,2016-03-14,202.75999450683594,202.16000366210938,202.5,-0.1282277144800238,Sufficient,False,137964500,73612000.0
2016-03-18,2016-03-21,204.3800048828125,204.07000732421875,204.6699981689453,0.1418892647052675,Sufficient,True,138372400,72926700.0
2016-04-01,2016-04-04,206.9199981689453,206.8300018310547,206.25,-0.32379575433703356,Sufficient,False,114423500,63497000.0
2016-04-08,2016-04-11,204.5,205.25,204.02000427246094,-0.23471673718291564,Sufficient,False,95040600,83757500.0
2016-04-15,2016-04-18,207.77999877929688,207.77999877929688,209.24000549316406,0.7026695170106344,Sufficient,True,75761600,82531000.0
2016-04-22,2016-04-25,208.97000122070312,208.25999450683594,208.61000061035156,-0.17227382315576906,Sufficient,False,99251700,66166500.0
2016-04-29,2016-05-02,206.3300018310547,206.9199981689453,207.97000122070312,0.7948429094627195,Sufficient,True,142424100,62188000.0
2016-05-06,2016-05-09,205.72000122070312,205.57000732421875,205.88999938964844,0.08263570286631144,Sufficient,True,89315000,74374900.0
2016-05-13,2016-05-16,204.75999450683594,204.9600067138672,206.77999877929688,0.9865229178805723,Sufficient,True,96474600,77486800.0
2016-05-20,2016-05-23,205.49000549316406,205.50999450683594,205.2100067138672,-0.13625907431599615,Sufficient,False,104990400,58682600.0
2016-06-03,2016-06-06,210.27999877929688,210.6999969482422,211.35000610351562,0.5088488350914416,Sufficient,True,101757100,64887000.0
2016-06-10,2016-06-13,210.07000732421875,209.36000061035156,208.4499969482422,-0.7711764266644043,Sufficient,False,113829200,117751200.0
2016-06-17,2016-06-20,206.52000427246094,208.82000732421875,207.85000610351562,0.6440062965038592,Sufficient,True,117055700,82789600.0
2016-06-24,2016-06-27,203.24000549316406,201.58999633789062,199.60000610351562,-1.790985677655312,Sufficient,False,333444400,230775800.0
2016-07-08,2016-07-11,212.64999389648438,213.19000244140625,213.39999389648438,0.35269222738143674,Sufficient,True,133971000,73633900.0
2016-07-15,2016-07-18,215.8300018310547,215.97000122070312,216.41000366210938,0.26873086509478683,Sufficient,True,107155400,58725900.0
2016-07-22,2016-07-25,217.24000549316406,217.0,216.64999389648438,-0.271594357282528,Sufficient,False,62787500,55873100.0
2016-07-29,2016-08-01,217.1199951171875,217.19000244140625,216.94000244140625,-0.08290009203625003,Sufficient,False,79519400,73311400.0
2016-08-05,2016-08-08,218.17999267578125,218.39999389648438,218.0500030517578,-0.059579076169740286,Sufficient,False,71892200,39906500.0
2016-08-12,2016-08-15,218.4600067138672,218.88999938964844,219.08999633789062,0.2883775540886897,Sufficient,True,61313500,49813500.0
2016-08-19,2016-08-22,218.5399932861328,218.25999450683594,218.52999877929688,-0.00457330792668771,Sufficient,False,75443000,61368800.0
2016-08-26,2016-08-29,217.2899932861328,217.44000244140625,218.36000061035156,0.4924328580606738,Sufficient,True,122506300,70502200.0
2016-09-09,2016-09-12,213.27999877929688,212.38999938964844,216.33999633789062,1.4347325469371601,Sufficient,True,221589100,168110900.0
2016-09-16,2016-09-19,213.3699951171875,214.1300048828125,213.41000366210938,0.018750783070460037,Sufficient,True,155236400,80250500.0
2016-09-23,2016-09-26,215.99000549316406,215.02000427246094,214.24000549316406,-0.8102226748891797,Sufficient,False,73630900,89827300.0
2016-09-30,2016-10-03,216.3000030517578,215.82000732421875,215.77999877929688,-0.24040881420445806,Sufficient,False,117202900,83512100.0
2016-10-07,2016-10-10,215.0399932861328,216.16000366210938,216.16000366210938,0.5208381747325826,Sufficient,True,89788300,51855000.0
2016-10-14,2016-10-17,213.1199951171875,213.08999633789062,212.3800048828125,-0.34721764795842097,Sufficient,False,93346200,58275700.0
2016-10-21,2016-10-24,213.97999572753906,215.0,214.88999938964844,0.4252751099537751,Sufficient,True,89089100,60146600.0
2016-10-28,2016-10-31,212.5399932861328,212.92999267578125,212.5500030517578,0.004709591578618483,Sufficient,True,140623200,61272500.0
2016-11-04,2016-11-07,208.5500030517578,208.5500030517578,213.14999389648438,2.20570164344948,Sufficient,True,109122100,109794900.0
